Gear,Section,Subsample_ID,Species,Abundance
EL,8,EL8_2,AMBARI,1
TN,7,TN7_1,AMBARI,1
FN,1,FN1_1,AMENAT,3
FN,10,FN10_1,AMENAT,5
SE,5,SE5_2,AMMVIV,9
SE,7,SE7_1,AMMVIV,1
FN,7,FN7_1,APHSAY,1
FN,10,FN10_1,APHSAY,1
EL,1,EL1_1,APLGRU,1
EL,3,EL3_2,APLGRU,1
EL,4,EL4_1,APLGRU,1
EL,4,EL4_2,APLGRU,2
EL,5,EL5_2,APLGRU,4
EL,6,EL6_1,APLGRU,1
TN,10,TN10_1,APLGRU,1
FN,9,FN9_1,CAMOLI,5
FN,10,FN10_1,CAMOLI,42
SE,1,SE1_1,CAMOLI,1
SE,2,SE2_2,CAMOLI,1
SE,6,SE6_2,CAMOLI,1
SE,8,SE8_1,CAMOLI,1
EL,1,EL1_2,CARCYP,1
EL,7,EL7_2,COTCAR,1
SE,6,SE6_2,COTCAR,1
SE,8,SE8_1,COTCAR,1
SE,9,SE9_2,COTCAR,1
EL,6,EL6_2,CRYASP,1
SE,2,SE2_2,CRYASP,2
SE,7,SE7_1,CRYASP,2
TR,3,TN3_1,CRYASP,1
EL,1,EL1_1,CYPCAR,1
HN,9,HN9_1,CYPCAR,1
EL,6,EL6_2,CYPGAL,1
SE,2,SE2_1,CYPGAL,3
SE,2,SE2_2,CYPGAL,3
SE,3,SE3_1,CYPGAL,1
SE,3,SE3_2,CYPGAL,1
SE,5,SE5_2,CYPGAL,1
SE,9,SE9_2,CYPGAL,3
SE,10,SE10_1,CYPGAL,3
SE,10,SE10_2,CYPGAL,1
TR,3,TN3_1,CYPGAL,1
TR,6,TN6_1,CYPGAL,2
TR,9,TN9_1,CYPGAL,2
EL,1,EL1_1,CYPVEN,4
EL,3,EL3_2,CYPVEN,6
EL,5,EL5_1,CYPVEN,1
EL,7,EL7_2,CYPVEN,2
EL,8,EL8_1,CYPVEN,2
EL,8,EL8_2,CYPVEN,2
EL,9,EL9_1,CYPVEN,3
EL,9,EL9_2,CYPVEN,1
EL,10,EL10_1,CYPVEN,3
FN,4,FN4_1,CYPVEN,1
FN,7,FN7_1,CYPVEN,2
FN,9,FN9_1,CYPVEN,7
FN,10,FN10_1,CYPVEN,27
SE,1,SE1_1,CYPVEN,1
SE,2,SE2_1,CYPVEN,2
SE,2,SE2_2,CYPVEN,1
SE,3,SE3_1,CYPVEN,2
SE,3,SE3_2,CYPVEN,3
SE,5,SE5_1,CYPVEN,6
SE,6,SE6_1,CYPVEN,1
SE,7,SE7_1,CYPVEN,1
SE,8,SE8_2,CYPVEN,12
SE,9,SE9_1,CYPVEN,1
SE,10,SE10_1,CYPVEN,1
SE,10,SE10_2,CYPVEN,7
EL,1,EL1_1,DORCEP,6
EL,1,EL1_2,DORCEP,5
EL,2,EL2_1,DORCEP,1
EL,3,EL3_2,DORCEP,1
EL,4,EL4_1,DORCEP,14
EL,5,EL5_1,DORCEP,1
EL,6,EL6_1,DORCEP,1
EL,6,EL6_2,DORCEP,1
EL,7,EL7_1,DORCEP,1
EL,8,EL8_2,DORCEP,1
EL,9,EL9_1,DORCEP,2
EL,9,EL9_2,DORCEP,4
EL,10,EL10_1,DORCEP,9
FN,10,FN10_1,ERICLA,1
EL,7,EL7_1,ERIHAR,1
SE,3,SE3_1,ERIHAR,1
SE,5,SE5_2,ERIHAR,1
TR,3,TN3_1,ERIHAR,1
FN,10,FN10_1,ESOAME,1
TR,3,TN3_1,ETHBLE,1
SE,4,SE4_2,ETHCAE,2
SE,6,SE6_2,ETHCAE,1
SE,8,SE8_1,ETHCAE,3
FN,7,FN7_1,ETHSTI,1
SE,5,SE5_2,ETHSTI,2
SE,6,SE6_2,ETHZON,1
TR,3,TN3_1,ETHZON,1
SE,1,SE1_2,FUNCAT,2
SE,2,SE2_2,FUNCAT,1
SE,3,SE3_1,FUNCAT,1
SE,7,SE7_1,FUNCAT,1
SE,7,SE7_2,FUNCAT,1
SE,9,SE9_2,FUNCAT,3
FN,1,FN1_1,FUNOLI,1
FN,10,FN10_1,FUNOLI,8
SE,1,SE1_2,FUNOLI,1
SE,7,SE7_2,FUNOLI,10
SE,8,SE8_2,FUNOLI,5
SE,10,SE10_2,FUNOLI,1
FN,1,FN1_1,GAMAFF,1
FN,10,FN10_1,GAMAFF,32
